"Application Date","Record Number","Record Type","Address","Status","Project Name","Description","Expiration Date","Kiva Hist T #",
"06/29/2021","BLD2021061835","Residential Above Ground Pool","3849 SE LEE ST, STUART FL 34997-3143","In Review",,"PLACING AN ABOVE GROUND POOL",,,
"06/29/2021","BLD2021061813","Residential Above Ground Pool","809 SW 31ST ST, PALM CITY FL 34990-2943","In Review",,"Above Ground Pool  14ft round/48"" height",,,
"06/14/2021","BLD2021060888","Residential Above Ground Pool","1094 NW 16TH PL, STUART FL 34994-9620","In Review",,"Constructing a store bought above ground pool 18' X 4FT' IN back yard of home.",,,
"06/13/2021","21TMP-010985","Residential Above Ground Pool","12843 SE HOBE HILLS DR, HOBE SOUND FL 33455-6844",,"Pool","Above ground pool in fenced yard 18ft x 9 ft x 54""",,,
"05/24/2021","BLD2021051603","Residential Above Ground Pool","7861 SE PARADISE DR, STUART FL 34997-7321","Waiting on Applicant","Above ground pool","installation of above ground pool with decorative pool surround 3 sides",,,
"05/13/2021","BLD2021050861","Residential Above Ground Pool","1729 NE 23RD TER, JENSEN BEACH FL 34957-5146",,"Pool","I have an existing above ground pool that sits less than 48” above the ground. Has been installed for multiple years before I purchased the home.",,,
"05/05/2021","BLD2021050350","Residential Above Ground Pool","2674 SE CROTON WAY, STUART FL 34997-6690",,"Kathleen Field","Installation of above ground pool in front corner portion of our lot at a private residence",,,
"05/04/2021","BLD2021050158","Residential Above Ground Pool","1816 NE RIVER CT, JENSEN BEACH FL 34957-6422","Issued",,"PLACING AN 18' ABOVE GROUND POOL.   18' ABOVE GROUND POOL",,,
"04/19/2021","BLD2021041161","Residential Above Ground Pool","29734 SW CYPRESS ST, OKEECHOBEE FL 34974",,,"Erect 12 X 24 above ground pool with 48"" fence and security gate. Power for pump from existing shed thirty years ago already supplied.",,,
"10/19/2020","BLD2020101049","Residential Above Ground Pool","7861 SE PARADISE DR, STUART FL 34997-7321","Closed-Cancelled",,"Installation of above ground pool w/ surround",,,
"08/17/2020","BLD2020080885","Residential Above Ground Pool","470 NE LIMA VIAS, JENSEN BEACH FL 34957-6630","Waiting on Applicant",,"I would like to install an above ground ( 15x26)pool  in my backyard.",,,
"08/04/2020","BLD2020080145","Residential Above Ground Pool","5694 SE 47TH AVE, STUART FL 34997-8460","Closed-Certificate Issued",,"INSTALLATION OF ABOVE GROUND POOL",,,
"05/04/2020","BLD2020050144","Residential Above Ground Pool","72 SE TAHO TER, STUART FL 34997-5508","Waiting on Applicant",,"INSTALL ABOVE GROUND POOL 12' ROUND X 54"" TALL DOUGHBOY SILVER SANDS MODEL",,,
"05/01/2020","BLD2020050087","Residential Above Ground Pool","2938 SE ORCHID ST, STUART FL 34997-7830","Closed-Certificate Issued","Pool Permit","I would like to put in an above-ground 16 ft pool.",,,
"04/20/2020","BLD2020040900","Residential Above Ground Pool","1109 NE BAYSIDE PL, JENSEN BEACH FL 34957-3775","Issued",,"install 4 foot above ground pool in backyard",,,
"03/30/2020","BLD2020031452","Residential Above Ground Pool","1183 NE BERNARD ST, JENSEN BEACH FL 34957-6235","Closed-Certificate Issued",,"CRA-RIO INSTALL ABOVE GROUND 16FOOT SOFT SIDED POOL ON CONCRETE PATIO. THE POOL IS TEMPORARY REMOVED EVERY 6 MOS. INSTALL CHILD PROOF MESH FENCING AROUND THE PATIO. INSTALL AN UPGRADED LADDER THAT FEATURES REMOVABLE OUTSIDE STEPS",,,
"07/08/2019","BLD2019070291","Residential Above Ground Pool","5845 SE COLLINS AVE, STUART FL 34997-8055","Payment Required",,"with deck. Above ground pool 15x30ft sunken in ground 24 inches. house is fenced all around with wooden fence 6ft in with only 1 gate with 54 inch in height self closing hinges and alarm for doors and windows for safety. ladder will be installed inside pool and attached to deck.",,,
"01/18/2019","BLD2019010741","Residential Above Ground Pool","5018 SE ISABELITA AVE, STUART FL 34997-6762","Closed-Certificate Issued",,"Pool above ground - 24 feet wide - removable stairs",,,
"08/09/2018","BLD2018080493","Residential Above Ground Pool","2265 SE ALHAMBRA AVE, STUART FL 34994-4455","Closed-Cancelled",,"Install above ground pool  barrier, pool is 48"" ladder is removable  ladder is locked away from pool",,,
"05/29/2018","BLD2018051685","Residential Above Ground Pool","2453 SE WASHINGTON ST, STUART FL 34997-5925","Closed-Certificate Issued",,"INSTALL AN ABOVE GROUND POOL- INTEX 18 FT 52 IN ULTRA FRAME POOL WITH FILTER PUMP AND SALTWATER SYSTEM.  REMOVAL LADDER, GROUND CLOTH, POOL COVER",,,
"03/05/2018","BLD2018030186","Residential Above Ground Pool","1264 NE WHITE PINE TER, JENSEN BEACH FL 34957-4888","Closed-Certificate Issued",,"CONSTRUCT A 12X24 OVAL ABOVE GROUND POOL WITH REMOVABLE LADDER.  PRE EXISTING 110-120V GFI OUTLETS IS ALREADY IN PLAC",,,
"12/29/2017","BASPT208051","Residential Above Ground Pool","6854 SW 39TH ST, PALM CITY FL 34990-5300","Closed-Cancelled",,,,"T208051",
"07/28/2017","BASPT201562","Residential Above Ground Pool","4515 SE MURRAY COVE CIR, STUART FL 34997","OPEN",,"above ground pool 15'",,"T201562",
"07/28/2017","BASP2017100674","Residential Above Ground Pool","1518 NE SUNVIEW TER, JENSEN BEACH FL 34957-3905","OPEN",,"above ground pool & detatched deck/existing 6' board on board fence/cock will be removed",,"T201531",
"06/23/2017","BASPT199975","Residential Above Ground Pool","5752 SE LAGUNA AVE, STUART FL 34997-7820","Reactivated",,"PERMIT APPROVED FOR 30 DAY EXENSION,WILL EXPIRE JUNE 18, 2018  Above ground pool with no deck with safety ladder.",,"T199975",
"06/14/2017","BASP2017070342","Residential Above Ground Pool","7125 SE BLUEBIRD CIR, HOBE SOUND FL 33455-6009","DONE",,"Put up an above ground pool with removable ladder and safety pool cover which complies with ASTM F1346-91",,"T199457",
