"Application Date","Record Number","Record Type","Address","Status","Project Name","Description","Expiration Date","Kiva Hist T #",
"05/20/2021","BLD2021051423","Residential Pool Deck","2295 SW STRAWBERRY TER, PALM CITY FL 34990","In Review",,"EXTENSION OF THE POOL DECK 4 FT.",,,
"05/17/2021","BLD2021051053","Residential Pool Deck","8429 SE ISLAND WAY, JUPITER FL 33458-1121","Issued","Brick paver patio","Install 1"" brick pavers over concrete pool deck",,,
"05/10/2021","BLD2021050580","Residential Pool Deck","5885 SE GENERAL LEE TER, STUART FL 34997-2478","Waiting on Applicant","Snader pool deck","install paver pool deck over concrete and to the new pool",,,
"04/28/2021","BLD2021041918","Residential Pool Deck","19050 SE COUNTY LINE RD, TEQUESTA FL 33469-1679","Waiting on Applicant","Pool Deck Construction and Site Drainage","Construction of retaining walls required at pool deck, pool deck, spiral stairs, aluminum trellis, aluminum screen wall, and on site drainage.  Pool Construction, Entry Drive / Motor Court, Landscaping and Irrigation is by others.",,,
"04/06/2021","BLD2021040297","Residential Pool Deck","12064 SE LAUREL LN, HOBE SOUND FL 33455","Closed-Certificate Issued","Pool Deck","Installation of pool deck with travertine pavers. Pool barrier baby fence installed per homeowner.",,,
"03/29/2021","BLD2021031865","Residential Pool Deck","2029 SE TALBOT PL, STUART FL 34997-5692","Issued","Brick Paver Pool Deck","Installation of a brick paver pool deck. Approximately 1000 sq ft.",,,
"03/24/2021","BLD2021031579","Residential Pool Deck","19198 SE BRYANT DR, TEQUESTA FL 33469-1612",,"pool deck","8x10 pool deck/ w 4 ft safety fence",,,
"03/23/2021","BLD2021031529","Residential Pool Deck","17 SW RIVERWAY BLVD, PALM CITY FL 34990-4237","Waiting on Applicant",,"Tear out existing Pool Deck and Replace with 23 X 55 new pool deck. New walk going to dock 4 X15 with 5 steps 12"" X 5 1/2"" Treads 1 bar of steel around 8X8 perimeter slab and 1"" X1"" mat in stairs all #5 Steel, 4"" concrete slab with wire mesh",,,
"03/22/2021","BLD2021031359","Residential Pool Deck","1555 SW PENDARVIS CT, PALM CITY FL 34990-4501","Issued","Residential Pool Deck","Remove Concrete and install new paver deck around pool deck and patio",,,
"02/23/2021","BLD2021021439","Residential Pool Deck","4505 SW LONG BAY DR, PALM CITY FL 34990-8810","Closed-Cancelled","Permit Transfer - Pool Reno/Deck","Pool/Spa Renovation with new pool equipment, plaster, tile and new paver deck.",,,
"01/22/2021","BLD2021011106","Residential Pool Deck","6180 SE MARINER SANDS DR, STUART FL 34997-8715","Issued",,"PERMIT/DOCS by screen entry room door3/23/21 CALL YES TO EQUIPOTENTIAL PER JAKERemove and replace a 4' by 45' section of the pool deck and a 9 x 14 section.  All concrete will be 4000 PSI fiber mesh 4"" thick with a 12"" by 12"" footer and 2 # 5 rebar.",,,
"11/30/2020","BLD2020120416","Residential Pool Deck","1099 NE CRESCENT ST, JENSEN BEACH FL 34957-4714","Closed-Certificate Issued","John Briscoe","Rip up old pavers on pool deck/patio, install new sand set concrete pavers",,,
"11/27/2020","BLD2020111374","Residential Pool Deck","3344 SE FAIRWAY EAST, STUART FL 34997-6162","Issued","Sellard","Revised 2-10-21 to add 8 X 30' area to side of patioRemove existing pool deck and install new paver pool deck. Add walkway to dock.",,,
"10/28/2020","BLD2020101559","Residential Pool Deck","6074 SW BALD EAGLE DR, PALM CITY FL 34990","Issued",,"Equipotential will be done. 03/01/2021We will form and pour a new 1050 sq. foot pool deck - 4"" thick with 12"" by 12"" footer - 2 #5 rebar - concrete will be 4000 PSI fiber mesh.",,,
"10/08/2020","BLD2020100424","Residential Pool Deck","6619 SE SOUTH MARINA WAY, STUART FL 34996-1903","Issued","Giuggio Pool Deck Replacement","Replace wood deck with travertine pavers.",,,
"10/02/2020","BLD2020100097","Residential Pool Deck","6385 SE BALTUSROL TER, STUART FL 34997-8649","Closed-Certificate Issued","Brick Paver Pool Deck & Walkway","Remove 1850 sq ft of existing paver pool deck and grass.  Replace with brick pavers, same square footage.",,,
"09/29/2020","BLD2020091645","Residential Pool Deck","4273 NE WATT DR, JENSEN BEACH FL 34957","Issued",,"INSTALL NEW TAVERTIE WITH 8X8 FOOTERS - POOL PERMIT WAS IN 2017 (BSPW2017060750) EQUIPOTENTIAL WAS PREVIOUSLY INSTALLED.",,,
"09/24/2020","BLD2020091420","Residential Pool Deck","2819 SE ST LUCIE BLVD, STUART FL 34997-5419","Closed-Certificate Issued",,"Replacing wood pool deck and replacing with concrete including the wood steps",,,
"09/09/2020","BLD2020090492","Residential Pool Deck","3734 SE BENT BANYAN WAY, STUART FL 34997-5499","Closed-Certificate Issued",,"Pour pool deck & coping & spray cool deck",,,
"09/08/2020","BLD2020090385","Residential Pool Deck","3878 SW SAILFISH DR, PALM CITY FL 34990-3822","Issued","Belsito Pool Deck addition","Remove existing paver pool deck. Replace with larger concrete deck, with 4"" of 3000 psi concrete with fibermesh reinforcing.",,,
"09/08/2020","BLD2020090380","Residential Pool Deck","9822 SE OSPREY POINTE DR, HOBE SOUND FL 33455-3017","Closed-Certificate Issued",,"RESURFACE AND RETILE EXISTING POOL AND SPA.INSTALLING SAND SET PAVERS OVER EXISTING DECK",,,
"08/26/2020","BLD2020081557","Residential Pool Deck","7926 SE HIDDEN BRIDGE CT, JUPITER FL 33458-1032","Waiting on Applicant","Willoughby Residence","Pool Deck",,,
