"Application Date","Record Number","Record Type","Address","Status","Project Name","Description","Expiration Date","Kiva Hist T #",
"05/24/2021","BLD2021051573","Residential Swimming Pool No Deck","1967 NW PALMETTO TER, STUART FL 34994-9481","In Review","Swimming Pool","Installation of new In-ground swimming pool. Norwood Lancaster residence",,,
"05/17/2021","BLD2021051030","Residential Swimming Pool No Deck","13000 SE GUAVA DR, HOBE SOUND FL 33455","Issued",,"CONSTUCT NEW POOL AND SPA WITH HEAT PUMP",,,
"05/13/2021","BLD2021050886","Residential Swimming Pool No Deck","8923 SE CERES ST, HOBE SOUND FL 33455","Waiting on Applicant","CERES POOL","NEW 30'X15' POOL FOR SINGLE FAMILY HOME",,,
"05/06/2021","BLD2021050438","Residential Swimming Pool No Deck","8280 SE PAUROTIS LN, HOBE SOUND FL 33455-8251","Issued",,"CONSTRUCT NEW SWIMMING POOL",,,
"05/05/2021","BLD2021050306","Residential Swimming Pool No Deck","318 NE ALICE ST, JENSEN BEACH FL 34957-6008","Waiting on Applicant","Mark Elliot","Add spa to existing pool",,,
"05/03/2021","BLD2021050076","Residential Swimming Pool No Deck","5293 SE TALL PINES WAY, STUART FL 34997-2352","Waiting on Applicant",,"Swimming pool",,,
"04/29/2021","BLD2021041977","Residential Swimming Pool No Deck","1480 NW BRITT RD, STUART FL 34994-9211","Issued","Morlan","15x36 pool and spa",,,
"04/23/2021","BLD2021041583","Residential Swimming Pool No Deck","18795 SE RIVER RIDGE RD, TEQUESTA FL 33469-8107","Issued",,"construct new pool with spa",,,
"04/20/2021","BLD2021041264","Residential Swimming Pool No Deck","297 SW RIVERWAY BLVD, PALM CITY FL 34990-4253","Waiting on Applicant",,"swimming pool",,,
"04/19/2021","BLD2021041153","Residential Swimming Pool No Deck","10181 SE WILLIAMS DR, HOBE SOUND FL 33455-4817","Closed-Cancelled",,"Remove existing deck and build pool according to plans",,,
"04/15/2021","BLD2021041050","Residential Swimming Pool No Deck","10181 SE WILLIAMS DR, HOBE SOUND FL 33455-4817","Waiting on Applicant",,"New construction pool as built",,,
"04/13/2021","BLD2021040803","Residential Swimming Pool No Deck","9293 SE SATURN ST, HOBE SOUND FL 33455","Issued","SATURN POOL","NEW POOL FOR RESIDENTAL HOME WITH NO DECKING",,,
"04/12/2021","BLD2021040700","Residential Swimming Pool No Deck","5885 SE GENERAL LEE TER, STUART FL 34997-2478","Waiting on Applicant","Snader","Inground concrete swimming pool",,,
"03/29/2021","BLD2021031866","Residential Swimming Pool No Deck","701 NW SUNSET DR, STUART FL 34994-7614","Issued","Murphy Pool","Build Swimming Pool & Spa",,,
"03/23/2021","BLD2021031459","Residential Swimming Pool No Deck","1575 SE DARLING ST, STUART FL 34997","Issued",,"construct new swimming pool",,,
"03/18/2021","BLD2021031266","Residential Swimming Pool No Deck","1440 SW COVERED BRIDGE DR, PALM CITY FL 34990-1909","Issued",,"panel meter upgraded in permit-BLD2021040036CONSTRUCTION OF IN GROUND POOL AND SPA WITH PAVER PATIO AND POOL HEATER.",,,
"03/09/2021","BLD2021030608","Residential Swimming Pool No Deck","3724 SE FAIRWAY EAST, STUART FL 34997-6118","Issued",,"SWIMMING POOL",,,
